epoch0, t_loss: 0.031208, v_loss: 0.024312, best_epoch 0: 0.024312
epoch1, t_loss: 0.024714, v_loss: 0.023764, best_epoch 1: 0.023764
epoch2, t_loss: 0.023778, v_loss: 0.025583, best_epoch 1: 0.023764
epoch3, t_loss: 0.022824, v_loss: 0.028767, best_epoch 1: 0.023764
epoch4, t_loss: 0.022271, v_loss: 0.024068, best_epoch 1: 0.023764
epoch5, t_loss: 0.021731, v_loss: 0.021380, best_epoch 5: 0.021380
epoch6, t_loss: 0.020979, v_loss: 0.025835, best_epoch 5: 0.021380
epoch7, t_loss: 0.020602, v_loss: 0.022155, best_epoch 5: 0.021380
epoch8, t_loss: 0.019962, v_loss: 0.024768, best_epoch 5: 0.021380
epoch9, t_loss: 0.019578, v_loss: 0.025513, best_epoch 5: 0.021380
epoch10, t_loss: 0.019302, v_loss: 0.022962, best_epoch 5: 0.021380
epoch11, t_loss: 0.018802, v_loss: 0.048245, best_epoch 5: 0.021380
epoch12, t_loss: 0.018436, v_loss: 0.021584, best_epoch 5: 0.021380
epoch13, t_loss: 0.018135, v_loss: 0.026274, best_epoch 5: 0.021380
epoch14, t_loss: 0.017809, v_loss: 0.022555, best_epoch 5: 0.021380
epoch15, t_loss: 0.017624, v_loss: 0.056811, best_epoch 5: 0.021380
epoch16, t_loss: 0.017177, v_loss: 0.027827, best_epoch 5: 0.021380
epoch17, t_loss: 0.017167, v_loss: 0.021379, best_epoch 17: 0.021379
epoch18, t_loss: 0.016906, v_loss: 0.021388, best_epoch 17: 0.021379
epoch19, t_loss: 0.016601, v_loss: 0.023598, best_epoch 17: 0.021379
epoch20, t_loss: 0.016451, v_loss: 0.024513, best_epoch 17: 0.021379
epoch21, t_loss: 0.016193, v_loss: 0.024789, best_epoch 17: 0.021379
epoch22, t_loss: 0.016257, v_loss: 0.021398, best_epoch 17: 0.021379
epoch23, t_loss: 0.015961, v_loss: 0.024110, best_epoch 17: 0.021379
epoch24, t_loss: 0.015734, v_loss: 0.022360, best_epoch 17: 0.021379
epoch25, t_loss: 0.015685, v_loss: 0.022667, best_epoch 17: 0.021379
